sender_id,receiver_id,amount,timestamp,fraud_label
U029,U002,181.59,1735690165,0
U020,U027,602.42,1735691650,0
U018,U024,407.81,1735692134,0
U017,U009,875.13,1735692609,0
U002,U022,899.38,1735693468,0
U008,U027,211.25,1735696002,0
U007,U009,474.61,1735696556,0
U027,U018,324.79,1735696835,0
U021,U002,236.89,1735697834,0
U002,U011,353.6,1735700058,0
U028,U012,559.2,1735700990,0
U017,U016,118.18,1735701951,0
U017,U016,255.96,1735702916,0
U022,U011,764.85,1735704263,0
U017,U029,496.77,1735704510,0
U005,U008,295.17,1735704931,0
U011,U019,440.69,1735705922,0
U026,U022,403.06,1735706253,0
U015,U004,253.2,1735706384,0
U017,U003,772.15,1735707562,0
U009,U005,842.6,1735707633,0
U003,U004,669.44,1735707743,0
U015,U011,838.96,1735708616,0
U021,U008,276.15,1735709911,0
U008,U026,288.87,1735710516,0
U022,U025,807.27,1735712390,0
U022,U021,572.56,1735714080,0
U019,U014,67.33,1735714161,0
U026,U014,203.75,1735715009,0
U026,U029,776.13,1735715266,0
U008,U009,160.0,1735716468,0
U017,U026,193.64,1735717494,0
U009,U006,717.14,1735717936,0
U024,U011,728.51,1735718244,0
U004,U030,155.49,1735719858,0
U014,U021,886.44,1735719915,0
U020,U011,610.51,1735722269,0
U019,U018,167.36,1735723009,0
U025,U018,698.62,1735723257,0
U002,U001,326.86,1735723893,0
U030,U028,144.37,1735724554,0
U012,U008,897.7,1735725862,0
U011,U030,504.53,1735725873,0
U005,U009,369.41,1735729656,0
U029,U004,678.48,1735730349,0
U029,U008,357.79,1735730952,0
U028,U004,171.44,1735731538,0
U022,U016,854.29,1735732887,0
U003,U026,769.88,1735733197,0
U022,U013,622.49,1735735220,0
U028,U006,879.54,1735736013,0
U004,U030,874.54,1735736410,0
U017,U011,843.85,1735743145,0
U027,U001,301.33,1735744698,0
U009,U022,631.82,1735747170,0
U012,U010,745.66,1735749262,0
U011,U001,545.95,1735749923,0
U020,U003,620.68,1735751257,0
U024,U005,836.16,1735751659,0
U028,U011,100.94,1735751991,0
U023,U013,465.16,1735753559,0
U015,U005,267.8,1735754251,0
U026,U022,783.1,1735754655,0
U017,U015,83.19,1735754925,0
U029,U012,220.67,1735755012,0
U013,U030,535.87,1735756373,0
U001,U025,793.23,1735758645,0
U011,U007,631.25,1735758801,0
U022,U024,310.2,1735759229,0
U029,U008,459.88,1735761148,0
U021,U004,61.51,1735761697,0
U003,U022,404.28,1735762130,0
U011,U009,783.34,1735762770,0
U013,U005,617.65,1735768242,0
U015,U028,507.17,1735768903,0
U001,U005,839.02,1735770212,0
U024,U030,298.28,1735770677,0
U027,U025,241.99,1735770974,0
U014,U012,666.55,1735771828,0
U008,U028,67.61,1735772294,0
U014,U003,856.03,1735776159,0
U023,U010,241.66,1735777640,0
U009,U005,225.17,1735777836,0
U025,U009,700.99,1735778774,0
U026,U006,640.4,1735778794,0
U013,U017,45.07,1735781811,0
U004,U003,366.74,1735783704,0
U024,U025,616.74,1735785078,0
U009,U016,586.69,1735785238,0
U029,U005,509.21,1735786387,0
U017,U021,211.06,1735787619,0
U024,U015,501.16,1735788830,0
U024,U008,180.53,1735789071,0
U028,U008,785.18,1735789247,0
U008,U001,607.63,1735794055,0
U019,U014,812.13,1735794300,0
U014,U017,453.97,1735794730,0
U021,U022,124.64,1735795144,0
U023,U007,95.24,1735796449,0
U022,U014,344.7,1735797367,0
U030,U011,712.85,1735797528,0
U028,U025,102.63,1735798243,0
U010,U026,375.39,1735799443,0
U010,U019,149.47,1735799817,0
U009,U018,790.29,1735800523,0
U028,U025,801.5,1735801049,0
U021,U009,178.96,1735805424,0
U020,U011,857.03,1735805617,0
U008,U029,834.01,1735805764,0
U014,U028,819.9,1735806493,0
U008,U007,203.58,1735807201,0
U004,U011,413.9,1735808540,0
U013,U009,836.81,1735808877,0
U008,U007,742.26,1735810265,0
U005,U015,197.8,1735810875,0
U013,U014,552.46,1735812296,0
U013,U029,73.3,1735812988,0
U019,U016,248.98,1735813587,0
U029,U006,679.54,1735814033,0
U011,U002,83.12,1735814587,0
U009,U026,708.8,1735816634,0
U026,U018,609.21,1735817177,0
U030,U001,555.09,1735817685,0
